"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.73775989247731e-22,-4.18145810042078,0.283,1,1.73406749824562e-17,"Control","KISS1"
2.97304581373438e-21,2.70008572842758,1,0.683,1.08816449828492e-16,"Control","CDC20"
3.55657097498477e-21,-2.2236391652045,0.983,1,1.30174054255418e-16,"Control","SIL1"
3.55657097498477e-21,2.07381186940368,1,0.983,1.30174054255418e-16,"Control","FOXM1"
3.55657097498477e-21,-2.30684350099142,0.983,1,1.30174054255418e-16,"Control","AC025154.2"
3.55657097498477e-21,1.08973882028212,1,1,1.30174054255418e-16,"Control","HMGN2"
3.55657097498477e-21,1.11234306940841,1,1,1.30174054255418e-16,"Control","NASP"
3.55657097498477e-21,0.553061708344196,1,1,1.30174054255418e-16,"Control","H3F3A"
3.55657097498477e-21,0.614955809704371,1,1,1.30174054255418e-16,"Control","PTMA"
3.55657097498477e-21,1.74832971070561,1,1,1.30174054255418e-16,"Control","SMC4"
3.55657097498477e-21,1.23331399614403,1,1,1.30174054255418e-16,"Control","H2AFZ"
3.55657097498477e-21,2.27009653024832,1,1,1.30174054255418e-16,"Control","HMGB2"
3.55657097498477e-21,-0.82254519453012,1,1,1.30174054255418e-16,"Control","MAP1B"
3.55657097498477e-21,2.02075363143559,1,1,1.30174054255418e-16,"Control","PTTG1"
3.55657097498477e-21,0.818896165843891,1,1,1.30174054255418e-16,"Control","HNRNPA2B1"
3.55657097498477e-21,0.52574282800874,1,1,1.30174054255418e-16,"Control","PPIA"
3.55657097498477e-21,-0.881436257027004,1,1,1.30174054255418e-16,"Control","TSPAN4"
3.55657097498477e-21,1.33373179782761,1,1,1.30174054255418e-16,"Control","TUBA1B"
3.55657097498477e-21,1.22036171712464,1,1,1.30174054255418e-16,"Control","HMGB1"
3.55657097498477e-21,2.17534418401054,1,1,1.30174054255418e-16,"Control","TOP2A"
3.55657097498477e-21,2.05459855760259,1,1,1.30174054255418e-16,"Control","TYMS"
3.55657097498477e-21,0.709787940661611,1,1,1.30174054255418e-16,"Control","CIRBP"
3.55657097498477e-21,-1.06265934149094,1,1,1.30174054255418e-16,"Control","NNAT"
3.55657097498477e-21,1.10433993838237,1,1,1.30174054255418e-16,"Control","HMGB3"
3.6904848411248e-21,2.83743812760457,1,0.867,1.35075435670009e-16,"Control","UHRF1"
3.73930640816841e-21,0.83595516921046,1,1,1.36862353845372e-16,"Control","FUS"
3.73930640816841e-21,2.46456301739638,1,1,1.36862353845372e-16,"Control","UBE2C"
3.75935633386851e-21,2.42625454585996,1,0.8,1.37596201175921e-16,"Control","PBK"
3.93132356514348e-21,2.01694714164678,1,0.983,1.43890373807816e-16,"Control","NUSAP1"
3.93132356514348e-21,1.06173840138126,1,1,1.43890373807816e-16,"Control","H1FX"
3.93132356514348e-21,-1.14519532896756,1,1,1.43890373807816e-16,"Control","SNCB"
3.93132356514348e-21,1.74425438188953,1,1,1.43890373807816e-16,"Control","VIM"
4.12020682207479e-21,2.30200695779913,1,0.917,1.5080368989476e-16,"Control","E2F1"
4.13308833636544e-21,2.03830692559259,1,0.983,1.51275166199311e-16,"Control","ZWINT"
4.13308833636544e-21,1.00863984867691,1,1,1.51275166199311e-16,"Control","FABP5"
4.13308833636544e-21,-0.452580319913718,1,1,1.51275166199311e-16,"Control","TUBA1A"
4.13308833636544e-21,-1.84750122323238,1,1,1.51275166199311e-16,"Control","AQP5"
4.13308833636544e-21,-1.32651474350953,1,1,1.51275166199311e-16,"Control","NDRG4"
4.13308833636544e-21,-0.80172321146239,1,1,1.51275166199311e-16,"Control","ALDOC"
4.34508971220522e-21,-0.91469160878679,1,1,1.59034628556423e-16,"Control","CXCR4"
4.34508971220522e-21,1.66134223939743,1,1,1.59034628556423e-16,"Control","PCNA"
4.56499648933005e-21,2.32027053695542,1,0.95,1.67083436505969e-16,"Control","CCNB2"
4.56784091382928e-21,2.02572671516308,1,0.983,1.67187545287065e-16,"Control","CDK1"
4.56784091382928e-21,-1.66282419870713,1,1,1.67187545287065e-16,"Control","ELN"
4.56784091382928e-21,-1.45251734993452,1,1,1.67187545287065e-16,"Control","STMN4"
4.56784091382928e-21,-0.94704714364559,1,1,1.67187545287065e-16,"Control","SESN3"
4.80188057871637e-21,0.717088820266996,1,1,1.75753631061598e-16,"Control","HNRNPA1"
5.04777400341722e-21,2.04373885641902,1,0.983,1.84753576299074e-16,"Control","BIRC5"
5.04777400341722e-21,0.781968463628437,1,1,1.84753576299074e-16,"Control","CENPV"
5.30529095431525e-21,0.555030542346354,1,1,1.94178954218893e-16,"Control","TUBB"
5.30611444628082e-21,0.336303367544278,1,1,1.94209094848324e-16,"Control","RPL4"
5.86174963079189e-21,-1.60825811589587,0.967,1,2.14545898236614e-16,"Control","PDXK"
5.86265748799017e-21,0.900980941048093,1,1,2.14579126717928e-16,"Control","SRSF2"
6.14316201913232e-21,2.07442740557459,1,0.917,2.24845873062262e-16,"Control","CDKN3"
6.16219903464676e-21,-0.720392212404882,1,1,2.25542646867106e-16,"Control","CCND2"
6.42105325626481e-21,2.33260112047724,1,0.883,2.35016970232548e-16,"Control","MYBL2"
6.47686856789618e-21,-1.20307538379215,1,1,2.37059866453568e-16,"Control","NHLH1"
6.47686856789618e-21,0.979943324549639,1,1,2.37059866453568e-16,"Control","HSPB1"
6.47686856789618e-21,-1.51837464293375,1,1,2.37059866453568e-16,"Control","CHGA"
6.80742100232683e-21,-1.15472710694062,1,1,2.49158416106164e-16,"Control","GNG3"
6.80742100232683e-21,-1.04316752209352,1,1,2.49158416106164e-16,"Control","PMEL"
7.89763246204508e-21,-2.21707658811018,0.95,1,2.89061245743312e-16,"Control","MEG3"
7.90249391343446e-21,-1.01916337668619,1,1,2.89239179725615e-16,"Control","DPYSL3"
7.90249391343446e-21,-1.61130397705171,1,1,2.89239179725615e-16,"Control","GPD1"
7.90249391343446e-21,1.87721926188664,1,1,2.89239179725615e-16,"Control","MT2A"
8.00734717764807e-21,2.1792431653545,1,0.75,2.93076914049097e-16,"Control","MXD3"
8.30489892056976e-21,-1.39439811689532,1,1,3.03967605391774e-16,"Control","SCN3B"
8.72621747099241e-21,1.60261062360938,1,0.967,3.19388285655793e-16,"Control","CCNB1"
8.72755704355142e-21,0.93086805653415,1,1,3.19437315351026e-16,"Control","HNRNPD"
