"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.21749462203342e-22,-3.5921676527877,0.25,1,9.28665472757506e-18,"Control","mz-486.206686932387"
3.43816973922046e-22,-6.14912213128428,0.267,1,9.923589318312e-18,"Control","mz-448.246729024761"
3.62412057885382e-22,-4.36377928514776,0.267,1,1.04602992267458e-17,"Control","mz-451.269090805686"
4.04779230186016e-22,-4.48032940899363,0.283,1,1.1683142920859e-17,"Control","mz-486.201824889828"
4.72536312017398e-22,-4.94300061033796,0.3,1,1.36388155737582e-17,"Control","mz-449.251927099326"
5.4716584493364e-22,-3.51612468907496,0.317,1,1.57928477823196e-17,"Control","mz-489.215855930851"
5.84169688587135e-22,-4.05016521010376,0.283,1,1.68608897216905e-17,"Control","mz-449.256419641059"
6.39796941065324e-22,-3.87348670288053,0.317,1,1.84664591099685e-17,"Control","mz-449.242942150633"
7.16837826337543e-22,-6.19456363535011,0.35,1,2.06900901815805e-17,"Control","mz-448.242246579883"
7.16837826337543e-22,-4.79592216669644,0.35,1,2.06900901815805e-17,"Control","mz-449.247434602517"
7.16837826337543e-22,-4.34277559499549,0.35,1,2.06900901815805e-17,"Control","mz-451.260065514123"
7.16837826337543e-22,-4.5872352635406,0.35,1,2.06900901815805e-17,"Control","mz-451.264578137341"
7.96366010549157e-22,-3.5366362356068,0.3,1,2.29855121624803e-17,"Control","mz-451.25555293603"
1.36619492942574e-21,-3.41823491172122,0.45,1,3.94324842480151e-17,"Control","mz-489.220748113871"
1.40512020575804e-21,-3.93969269663081,0.233,0.983,4.05559844987942e-17,"Control","mz-450.250374243767"
1.61382727409656e-21,-3.81209353593093,0.483,1,4.65798966122489e-17,"Control","mz-486.196962895889"
1.85622113770985e-21,-3.33256271430895,0.45,1,5.35761106977194e-17,"Control","mz-488.223755066372"
1.86643274280413e-21,-4.5400080833178,0.517,1,5.38708482555555e-17,"Control","mz-488.218872853233"
1.99238021283186e-21,-3.55950140532015,0.533,1,5.75060700829661e-17,"Control","mz-488.209108573419"
2.0331253934839e-21,-3.19619376713816,0.283,1,5.86820982321259e-17,"Control","mz-446.225225848398"
3.55657097498477e-21,0.45584365227454,1,1,1.02653308050985e-16,"Control","mz-230.945976507706"
3.55657097498477e-21,0.568607980122215,1,1,1.02653308050985e-16,"Control","mz-273.038774228459"
3.55657097498477e-21,0.497840823547452,1,1,1.02653308050985e-16,"Control","mz-422.92455884066"
3.55657097498477e-21,0.514917223278229,1,1,1.02653308050985e-16,"Control","mz-983.899556639821"
4.22540116842069e-21,-3.27043774877298,0.683,1,1.21957753924127e-16,"Control","mz-452.27202102793"
4.80188057871637e-21,-0.450271113676823,1,1,1.38596679143491e-16,"Control","mz-754.536622089446"
4.80188057871637e-21,0.777212878691924,1,1,1.38596679143491e-16,"Control","mz-1383.83486970307"
5.30611444628082e-21,-0.209850422013069,1,1,1.53150381263003e-16,"Control","mz-732.551624288964"
5.48802177351315e-21,-3.17280771507111,0.4,1,1.5840077244891e-16,"Control","mz-447.234835287771"
5.73517208074435e-21,-2.9130087060517,0.333,1,1.65534271766524e-16,"Control","mz-447.239307658486"
6.19659380792456e-21,-2.87116647292228,0.8,1,1.78852287078127e-16,"Control","mz-452.276543770754"
8.72755704355142e-21,-0.301920641918653,1,1,2.51903478948025e-16,"Control","mz-711.434827964611"
1.27523636199192e-20,-3.27155517515354,0.483,1,3.68071471161728e-16,"Control","mz-446.229688122968"
1.50401912872374e-20,0.766308993717916,1,1,4.34105041123533e-16,"Control","mz-1384.83158958537"
1.92405128056282e-20,-0.48248234073899,1,1,5.55338921108847e-16,"Control","mz-755.533268072252"
2.98121653654475e-20,-2.4427929484379,0.433,1,8.60468528942911e-16,"Control","mz-486.19210095057"
3.99089848716584e-20,-2.45054608398723,0.783,1,1.15189303035068e-15,"Control","mz-452.281066558806"
4.01172839496996e-20,-0.466805347058934,1,1,1.15790516664018e-15,"Control","mz-709.417219413411"
4.01172839496996e-20,-0.771955953036529,1,1,1.15790516664018e-15,"Control","mz-750.503125223322"
4.4226139074034e-20,0.779492946280653,1,1,1.27649905209384e-15,"Control","mz-1383.84870812096"
4.87505149279987e-20,-0.509447133556815,1,1,1.40708611236683e-15,"Control","mz-778.534896250173"
5.21784012601542e-20,-3.21198078610021,0.367,0.967,1.50602519557183e-15,"Control","mz-452.267498330333"
6.52522978378177e-20,0.365389277186444,1,1,1.88337707249293e-15,"Control","mz-203.222983124668"
1.05846643621326e-19,0.491770735520517,1,1,3.05505167484234e-15,"Control","mz-981.884628555615"
1.62920815898467e-19,-2.65492234091338,0.383,0.983,4.70238350927746e-15,"Control","mz-487.204432980892"
2.39387066532361e-19,0.940016915635218,1,1,6.90942890132352e-15,"Control","mz-739.529235306889"
2.70957370098872e-19,-2.44770200477531,0.5,1,7.82064257316375e-15,"Control","mz-424.24614406514"
2.76242960102279e-19,-0.236966552738234,1,1,7.97320055743209e-15,"Control","mz-728.519079386203"
3.34230728710679e-19,-0.504025267415963,1,1,9.64690152277633e-15,"Control","mz-1486.07517861783"
4.23861782114783e-19,-0.540716055020837,1,1,1.2233922617179e-14,"Control","mz-726.503873884437"
4.38067044092214e-19,-2.803240872798,0.233,0.967,1.26439290936336e-14,"Control","mz-380.183418010972"
4.44451486593069e-19,0.459236173585424,1,1,1.28282032575358e-14,"Control","mz-600.939230382356"
4.44451486593069e-19,0.458109744771836,1,1,1.28282032575358e-14,"Control","mz-858.514710452534"
4.66028677726997e-19,0.678549883997248,1,1,1.34509857252343e-14,"Control","mz-1213.82743444455"
6.19004805193869e-19,-0.38793722247824,1,1,1.78663356923106e-14,"Control","mz-780.546109632166"
6.48932514984246e-19,0.657740362297469,1,1,1.87301391799903e-14,"Control","mz-273.036043854368"
7.83616130523029e-19,-0.20426948636824,1,1,2.26175123752862e-14,"Control","mz-808.583389947739"
9.87396116268381e-19,-2.43647958290179,0.267,0.967,2.84992141038543e-14,"Control","mz-448.233281824599"
1.1303811906686e-18,-2.59891245848201,0.233,0.95,3.26261923062678e-14,"Control","mz-487.199560960922"
1.19590147939112e-18,-0.229150940147568,1,1,3.45173043996659e-14,"Control","mz-769.494507309004"
1.37619497514114e-18,-0.497898039071795,1,1,3.97211155674986e-14,"Control","mz-753.518684911807"
1.58328154386318e-18,-0.309069598670126,1,1,4.56982552005229e-14,"Control","mz-730.539874745587"
1.6589268505665e-18,0.678265692366285,1,1,4.78816056879009e-14,"Control","mz-633.483412329983"
2.04037438471025e-18,-2.51257450605876,0.267,0.983,5.88913258658919e-14,"Control","mz-380.179616195801"
