,0,1
0,MT-ND5,LMO4
1,ZFP36,GTF2B
2,SOCS3,PKN2
3,MT-ND4L,SERPINF1
4,FOS,PDLIM3
5,CST3,FOXS1
6,MT-ND2,CADM1
7,APOE,EEF1G
8,MT-ND6,CIRBP
9,GFAP,HHIP
10,EGR1,EIF3L
11,JUNB,CRIP2
12,ITM2C,UBA52
13,JUN,MAP2K6
14,MT-ND4,FBL
15,PMP2,HSP90AB1
16,DUSP1,SELENON
17,SAT1,QARS
18,ARC,FAM210B
19,RHOB,SBSPON
20,GADD45B,LDHB
21,HBA2,NREP
22,SGK1,PGM1
23,BCAN,C12orf57
24,TNR,APEX1
25,HTRA1,EEF2
26,MCL1,SDC2
27,C3,RFTN2
28,MT-ND3,IGFBPL1
29,EGR3,HSD17B11
30,GJA1,IMPDH2
31,IER2,FABP7
32,RGS1,NRN1
33,APLNR,SFRP1
34,PTN,EIF4B
35,SPARC,RGMB
36,NR4A1,EEF1B2
37,MT-CO2,KYAT3
38,TMSB4X,MRAP2
39,PTPRZ1,GCNT2
40,SRGN,CSNK1E
41,SERPINA3,GRK3
42,CD74,GDI2
43,PHLDA1,ESD
44,CSPG4,CCNB1IP1
45,EGR2,ALDH1A3
46,PLP1,H3F3A
47,AQP4,GABRA2
48,MT2A,LTA4H
49,S100A10,UQCRB
50,MT-ND1,CARMIL1
51,RAB31,MCM7
52,NTRK2,AKT3
53,BAALC,KLHL24
54,HBB,HNRNPA0
55,SYNM,SSR2
56,MT-CYB,PPP2R2C
57,OLIG1,MYLK2
58,RGCC,EIF4A2
59,CEBPD,CCNG1
60,PLPP3,INCENP
61,EMP1,CPE
62,THY1,PAFAH1B3
63,S100B,BOC
64,MT3,SHROOM2
65,ATP1B2,KLHDC3
66,C1QL1,ZBTB10
67,VIM,SOX9
68,C11orf96,TMEM98
69,C1orf61,ESRRB
70,SEMA5A,KDM1A
71,RHOC,CRPPA
72,NACC2,CCSER2
73,LAPTM5,BOK
74,PON2,ERGIC3
75,MT-ATP6,RIOX2
76,B2M,NSA2
77,CD44,PNRC1
78,SOX10,CXCR4
79,PADI2,CA14
80,FAM107A,PAX6
81,S100A1,CAMLG
82,GABBR1,SYNE2
83,NES,ATP5MC2
84,HSPB8,CDIPT
85,GPR37L1,RSL1D1
86,PRUNE2,ATP1A3
87,LDLR,PRTFDC1
88,CSRNP1,MYCN
89,CHI3L1,AMER2
90,ATF3,NTRK3
91,NR4A3,ATP2B1
92,AGRN,XKR7
93,FOSB,C1orf115
94,QKI,SLC6A15
95,CLDN5,LEPR
96,RAMP1,TFDP2
97,ZCCHC24,TMSB15A
98,ITM2A,SMAD4
99,PEA15,SCARB2
