row_id,mz,rt.min
58125,822.7425,19.1512
45084,262.9992,12.286
17879,231.1702,5.086
52857,217.1295,15.0417
50142,178.045,13.8178
25425,329.1279,7.2962
8680,415.175,2.9393
30542,622.1744,8.1663
46220,363.1435,12.6757
57335,285.123,16.3948
51335,248.0619,13.6503
27451,385.1515,7.3123
73042,219.0867,23.1204
31947,313.1429,7.7632
26111,630.8863,7.0922
70821,354.78,21.4035
29338,240.0278,8.3718
54506,294.8736,15.798
23338,192.0689,6.7929
50260,230.1136,13.4678
70718,526.7163,21.3838
63263,888.721,18.5195
56862,163,16.388
52379,364.0079,14.9408
41418,481.2055,11.0978
47049,248.1243,12.9156
53676,592.1623,15.5445
54411,156.9637,15.2909
34716,136.0806,9.6164
3614,699.4626,2.9477
70039,452.7038,21.3221
63876,380.8787,19.2328
31817,123.0552,6.8314
43830,283.07,11.1532
55095,219.0976,15.6124
19584,226.1438,4.2442
47499,190.1438,13.1213
31576,642.0967,8.4143
49536,119.0491,13.6955
27277,442.133,7.9043
16777,674.4625,2.9031
70048,578.6409,21.1792
31212,256.1294,8.2867
59053,310.9314,16.2495
51616,469.1979,14.5183
60546,686.8593,17.2288
70788,476.7182,21.4101
59657,418.9109,16.8313
40844,953.9038,11.2251
4212,841.5251,2.942
60685,588.8827,17.5343
44535,244.9329,13.0516
4566,787.3273,3.1361
42223,307.044,11.451
44656,288.2283,11.77
7704,348.2533,3.4207
3946,1337.8822,3.0349
49155,391.2662,13.6024
68776,995.2707,19.7667
48124,322.0549,13.1955
58854,104.1069,17.6552
3366,843.5399,2.9258
70300,632.6024,21.4003
71952,337.1698,22.7886
7503,388.254,4.3277
21524,209.1649,5.5625
2675,595.155,2.8783
56975,293.1821,15.9054
58956,335.0149,16.7089
62694,204.913,19.3872
7111,666.2882,3.3667
56285,587.0299,16.0605
45431,391.12,11.2424
10417,833.3229,3.4692
52378,345.9973,14.8805
58222,283.1378,16.7838
55793,664.1957,15.9517
42964,739.2815,11.1151
26069,425.1464,7.5455
55700,723.1411,15.7742
13212,624.4106,3.0581
1056,1170.7872,3.186
3615,1013.2955,3.0249
57195,198.0849,16.4627
2107,1058.662,3.1808
43002,948.373,11.1596
7706,432.2379,3.3063
33414,271.0861,9.2067
69242,89.1073,20.6467
70165,632.6156,20.9657
12095,834.2391,3.154
60570,797.1675,17.4904
3349,1198.8302,3.0272
61076,701.1006,16.8467
65445,1135.6142,19.1684
25839,494.2225,7.366
2226,1205.7173,3.0883
59879,769.1925,17.4866
54613,168.0323,15.4073
30002,299.1272,8.3292
9020,568.3397,3.5302
66748,164.9239,19.6351
47100,407.0754,12.8774
18764,534.5248,3.9258
45756,463.2148,12.6651
3859,770.5129,3.1197
70256,590.6204,21.1608
61266,428.931,18.0295
57987,292.0827,16.7177
43142,348.1142,11.9656
5774,782.5692,3.1452
30410,401.9583,8.4543
52788,703.1027,14.6492
61002,456.9782,17.4385
34660,137.065,9.6295
55066,439.9998,15.3424
47613,351.0878,13.0901
58527,348.9716,16.1927
41193,243.134,11.7202
65032,1400.5247,19.154
23819,155.0815,6.825
71351,164.9321,20.7569
2635,906.6451,2.9436
56938,303.1829,16.428
48340,288.2031,12.0928
55619,268.078,15.9844
12216,597.2172,4.0231
57419,148.0602,15.5119
